公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3,Category,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
6680 鑫創電子 (上櫃電腦及週邊設備業),,177639.0,161911.0,102368.0,81759.0,104659.0,82725.0,88464.0,110141.0,99061.0,102580.0,71870.0,85806.0,110748.0,123592.0,87484.0,117699.0,161309.0,168146.0,113746.0,154869.0,189659.0,170354.0,105149.0,181008.0,197402.0,183018.0,,,,,,,,,,,,,,,,,,,,,,Revenue,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),1145371.0,944296.0,994112.0,946665.0,912039.0,855322.0,1126330.0,1039700.0,920241.0,1043574.0,1304755.0,1046291.0,1977779.0,1412756.0,1270029.0,1483935.0,1469185.0,1878394.0,1943317.0,1617116.0,1538648.0,1509773.0,1331325.0,986318.0,1315765.0,1423326.0,1454741.0,639054.0,621927.0,700191.0,793314.0,809163.0,1067540.0,912989.0,978359.0,1126107.0,1077669.0,1030425.0,1031670.0,1111080.0,1316502.0,1267324.0,1132179.0,985726.0,943780.0,1387789.0,894064.0,1096780.0,Revenue,,,,,,
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,586942.0,,694967.0,287602.0,245274.0,252429.0,269500.0,339191.0,352378.0,350381.0,403382.0,,,,,,,,,,,,,,,,,,,,,,Revenue,,,,,,
6680 鑫創電子 (上櫃電腦及週邊設備業),,62471.0,58587.0,34235.0,28950.0,36254.0,30157.0,29756.0,38010.0,36032.0,32541.0,21144.0,29681.0,32599.0,39331.0,25209.0,36361.0,48712.0,62653.0,35041.0,47808.0,61656.0,54475.0,33360.0,62647.0,69251.0,64865.0,,,,,,,,,,,,,,,,,,,,,,GrossProfit,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),295379.0,214272.0,244870.0,252249.0,231619.0,217446.0,249241.0,252151.0,174593.0,157747.0,182545.0,181198.0,227392.0,262794.0,363230.0,400957.0,447946.0,565071.0,539989.0,454379.0,362986.0,336869.0,323758.0,242059.0,342908.0,350410.0,298921.0,203641.0,202544.0,232465.0,252556.0,251464.0,341308.0,273912.0,325912.0,364260.0,307733.0,340235.0,354833.0,402745.0,497431.0,434597.0,388874.0,335141.0,275297.0,434997.0,216036.0,289896.0,GrossProfit,,,,,,
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,241198.0,,294766.0,111547.0,97299.0,126052.0,120605.0,151993.0,157053.0,151070.0,167183.0,,,,,,,,,,,,,,,,,,,,,,GrossProfit,,,,,,
6680 鑫創電子,-,"177,639","161,911","102,368","81,759","104,659","82,725","88,464","110,141","99,061","102,580","71,870","85,806","110,748","123,592","87,484","117,699","161,309","168,146","113,746","154,869","189,659","170,354","105,149","181,008","197,402","183,018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Revenue,"118,939","123,022","141,278","180,631","145,422","147,985"
8050 廣積,"1,145,371","944,296","994,112","946,665","912,039","855,322","1,126,330","1,039,700","920,241","1,043,574","1,304,755","1,046,291","1,977,779","1,412,756","1,270,029","1,483,935","1,469,185","1,878,394","1,943,317","1,617,116","1,538,648","1,509,773","1,331,325","986,318","1,315,765","1,423,326","1,454,741","639,054","621,927","700,191","793,314","809,163","1,067,540","912,989","978,359","1,126,107","1,077,669","1,030,425","1,031,670","1,111,080","1,316,502","1,267,324","1,132,179","985,726","943,780","1,387,789","894,064","1,096,780",Revenue,"1,547,998","1,500,613","1,244,057","1,064,893","1,229,232","2,104,838"
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"586,942",-,"694,967","287,602","245,274","252,429","269,500","339,191","352,378","350,381","403,382",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Revenue,"418,369","419,166","454,452","350,915","511,998","623,609"
3594 磐儀,"444,285","384,159","377,693","339,052","403,366","415,917","437,494","282,773","438,059","378,580","410,904","301,938","402,274","364,614","440,586","327,934","423,311","456,250","593,560","384,322","437,514","385,518","464,073","263,453","360,308","364,678","578,165","255,774","350,496","325,958","350,600","309,378","392,581","321,961","434,201","273,687","361,845","310,575","490,633","385,014","359,572","318,315","482,501","296,865","403,480","387,324","288,633","380,287",Revenue,"390,152","486,408","512,634","636,368","522,555","709,045"
2397 友通,"812,715","1,428,254","1,246,533","1,443,911","1,746,859","1,599,336","2,241,678","2,176,321","2,040,449","2,040,282","2,092,470","2,008,118","3,271,167","3,739,571","4,192,420","3,870,828","3,852,164","4,093,050","4,346,751","3,820,041","3,761,152","3,921,424",-2318445,"1,906,186","2,167,776","2,524,804","2,985,126","479,433","618,232","676,127","537,936","652,077","653,522","645,643","675,829","703,815","870,126","774,510","760,186","964,051","1,017,943","940,947","900,777","920,057","994,260","990,022","1,158,041","1,378,294",Revenue,"2,598,900","2,900,324","2,772,458","2,604,264","3,030,612","3,707,763"
8234 新漢,"1,710,035","1,484,249","2,004,681","1,566,135","1,845,822","1,705,388","2,096,063","1,536,661","1,662,393","1,663,122","1,839,718","1,333,227","1,524,593","1,818,737","2,104,023","1,725,262","1,989,421","2,065,914","2,136,100","1,663,790","1,458,826","1,400,320","1,242,573","1,164,778","1,161,066","1,501,418","1,593,803","990,688","1,066,783","972,890","1,141,162","1,203,586","1,325,829","1,412,966","1,443,244","1,298,918","1,373,580","1,282,861","1,553,071","1,273,637","1,405,207","1,585,601","1,841,165","1,435,899","1,522,153","1,696,140","1,441,586","1,707,123",Revenue,"1,649,756","1,483,745","1,246,093","1,322,559","1,146,731","1,676,559"
2395 研華,"11,759,609","12,645,444","12,366,224","12,300,590","13,976,014","14,382,282","13,485,776","11,272,189","14,018,169","13,049,851","12,779,199","13,161,403","14,209,687","15,506,864","15,744,096","16,119,517","16,824,495","18,613,912","17,186,777","17,395,607","17,028,135","15,006,349","15,137,606","13,879,270","14,643,762","14,949,502","16,313,759","6,629,587","7,808,637","7,949,357","8,272,453","8,146,552","9,278,013","9,124,537","9,182,597","8,784,667","10,026,947","9,437,752","9,751,216","10,073,400","10,712,512","10,411,332","10,804,954","10,006,239","11,406,108","11,202,795","11,355,195","12,359,655",Revenue,"17,351,246","17,835,796","17,773,911","17,921,409","20,385,264","26,126,290"
