公司,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,Category
6166 凌華,17.44,17.56,18.2,18.7,19.51,18.98,18.63,19.69,20.44,19.38,18.98,19.32,22.58,20.46,20.39,21.5,21.13,20.08,20.93,21.22,21.36,20.21,20.37,20.95,21.58,20.77,21.12,21.5,21.9,20.28,20.52,20.76,20.78,20.96,19.76,20.32,20.84,22.67,24.03,25.65,23.49,23.72,24.78,24.8,23.87,23.57,23.55,24.72,NAV
3088 艾訊,16.89,15.92,16.87,17.58,19.07,17.48,18.8,19.93,20.87,17.8,20.16,21.42,22.73,19.44,20.44,22.08,22.08,28.24,29.44,29.86,30.88,26.94,28.21,29.66,31.15,29.65,30.83,31.81,32.73,30.05,30.78,31.68,30.54,30.98,32.92,34.15,32.92,34.02,36.71,38.92,37.8,40.43,40.21,41.37,38.92,40.7,42.81,45.28,NAV
6579 研揚,-,-,-,-,-,-,-,-,-,-,-,26.15,-,25.87,27.14,31.46,32,29.42,37.88,39.22,41.78,40.04,52.79,53.13,54.63,50.95,51.39,52.53,52.13,50.83,51.85,52.8,53.11,50.2,50.82,52.95,54.12,52.96,55.59,57.92,60.28,59.78,62.2,62.41,65.55,60.69,57.72,59.6,NAV
公司平均數,21.341,20.337,20.599,21.494,22.67,21.263,21.33,22.82,23.723,21.949,22.77,23.969,25.07,23.453,24.101,25.67,25.808,24.804,26.929,26.213,28.386,25.41,29.434,28.776,29.948,28.111,29.344,30.019,29.121,28.492,28.834,29.491,28.602,28.34,28.75,29.238,29.531,29.409,32.997,34.024,32.812,33.205,34.138,35.222,34.27,34.327,34.949,36.789,NAV
電腦及週邊設備業,23.26,21.88,22.66,23.24,25.17,23.42,24.79,25.76,26.79,24.44,26.04,25.95,27.17,25,26.06,26.67,26.86,25.25,26.84,27.38,28.5,27.35,28.31,28.38,29.78,28.09,28.9,29.38,29.15,28.48,30.03,30.72,31.82,31.33,31.96,33.48,34.69,33.25,35.87,36.23,36.15,35.71,37.68,38.19,38.91,39.31,41.9,43.59,NAV
6680 鑫創電子,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,275",-,"17,488","11,910","11,150","16,782",-19892,"31,823","11,288","9,518","1,059","6,987",-16290,-17719,"16,298",-37855,"1,027","46,263","27,149",-2892,"66,536","53,440","41,962",-4885,"47,491","43,667",-1138,OperatingCashflow
8050 廣積,"172,263","43,482","55,564","132,474","161,984","13,676",-41985,"78,815","126,551","8,778","191,086","219,506","76,488","237,470","106,412","314,657",-87082,"42,833",-231120,"359,853",-114189,"30,195",-105840,"96,795","42,684","60,734","202,651",-122964,"137,631",-280684,-183735,-45825,-80527,-266201,"209,060","542,175",-221063,"8,057","273,169","372,489","50,102","446,790","342,060","147,926","151,091","58,652",-80550,"10,848",OperatingCashflow
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"38,108",-,"163,105","11,397","86,183","31,563",-89037,"52,751","199,555",-98444,337,OperatingCashflow
3594 磐儀,-18050,"15,935",-100818,"70,292","37,106","6,977",-77874,-88753,-151887,-85379,-31287,"6,357","1,095",-15757,"20,143",-44885,-26155,-90140,-12127,"77,742",-32982,"80,843","13,044",-52880,-52156,-1442,"114,157","52,285",-11711,-113422,"58,648","43,868",-55331,-29248,-146997,"13,394","81,576",-10565,"100,121","66,063","77,926","80,330","133,527","33,817","190,406",-21014,-26212,"29,453",OperatingCashflow
2397 友通,-152841,-35571,"60,998","7,715","10,870",-41567,"342,316","241,986","325,371",-190073,"359,960","132,366","65,372","59,632","302,918",-53439,"84,113",-86667,"542,341",-56507,-1531,"8,803","880,043","212,974","403,873","346,519","360,920","492,636","76,864","83,307",-61822,"404,285","104,562",-537765,-292266,-327846,-218265,-159875,"604,064","396,097","512,275","397,454","372,755","291,410","177,346","273,134","231,425","255,963",OperatingCashflow
