公司,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,Category
電腦及週邊設備業,"78,755.13",-393114.21,-235781.13,-134697.26,-157310.65,-94939.07,-1047369.1,"741,157.58",-19256.31,-358910.37,-1316144.56,-228721.13,"87,360.69","61,693.16",-532185.15,-684091.77,"932,202","174,087.26",-139761.58,-41014.18,"903,719.11","190,126.28",-807089.11,-275577.12,"218,998.17","52,439.24",-1614025.12,-235174.31,-126272.92,"651,803.87",-559722.24,"302,549.37","178,762.6","52,229.36",-484543.03,"209,008.77","80,182.99","748,700.49",-1825840.08,-540386.47,-617636.56,-1331382.28,-912396.39,-460445.95,-214109.86,-59561.06,"547,526.03","406,288.78",FinancingCashflow
6680 鑫創電子,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.40,-,37.46,-,37.10,38.02,42.58,26.09,23.66,34.78,37.21,27.52,29.33,37.81,37.36,32.71,36.27,43.41,43.12,40.80,36.42,39.88,40.92,39.31,32.48,37.49,58.54,66.88,61.91,DebtRatio
8050 廣積,29.78,31.91,28.72,25.67,21.93,32.55,35.57,35.40,26.62,32.45,30.47,27.42,27.40,33.79,29.29,26.70,25.53,40.24,35.77,28.59,31.07,41.75,26.93,24.02,24.86,29.10,29.86,31.40,43.03,41.65,36.79,41.09,45.52,45.42,46.65,44.87,46.67,46.09,40.88,40.31,38.24,43.80,37.76,36.42,29.65,34.54,34.81,35.39,DebtRatio
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.23,-,46.26,-,30.80,41.41,41.91,28.90,22.77,33.49,53.22,48.93,46.22,DebtRatio
3594 磐儀,45.69,40.68,39.63,41.71,45.37,44.64,46.46,40.91,42.96,37.58,40.30,43.44,46.20,46.67,50.52,51.36,54.47,52.66,49.73,49.03,49.08,46.79,47.02,46.00,47.12,49.17,47.33,47.90,49.43,58.27,54.69,51.22,50.95,50.54,51.76,51.47,42.30,42.33,41.91,43.20,42.63,43.28,40.43,40.87,39.44,34.76,35.72,43.85,DebtRatio
2397 友通,15.61,23.33,14.92,16.72,16.63,20.52,15.88,17.80,18.84,26.70,16.13,18.50,21.97,29.74,20.71,21.64,21.42,33.93,25.40,25.40,27.21,41.10,29.72,31.88,30.98,39.92,30.72,38.59,37.79,42.99,38.47,37.73,39.50,50.60,56.14,55.30,59.85,58.04,57.18,55.69,55.98,53.39,51.81,45.25,47.50,48.23,54.98,52.69,DebtRatio
8234 新漢,35.37,52.24,51.07,50.76,49.87,52.38,46.62,47.26,46.79,51.67,48.05,48.41,47.30,50.13,53.08,53.56,53.25,56.98,57.42,56.18,53.99,55.16,59.79,60.60,60.52,61.48,61.12,60.62,58.38,59.20,58.68,56.72,55.97,61.62,63.65,64.46,63.59,64.56,60.29,60.01,54.64,57.19,55.00,52.36,48.79,51.62,51.41,52.01,DebtRatio
2395 研華,26.63,36.59,28.57,29.47,27.99,37.37,29.43,28.55,27.49,38.93,30.01,30.98,29.34,39.17,30.11,34.13,29.19,39.46,32.54,31.80,30.51,41.61,33.53,32.77,32.48,41.61,31.77,30.68,41.56,41.07,30.85,30.19,40.80,41.45,33.91,33.66,41.62,41.66,33.61,33.29,42.89,38.55,30.56,29.32,39.12,36.45,26.76,27.80,DebtRatio
6166 凌華,43.18,46.63,44.72,40.18,42.35,48.76,46.63,43.55,46.72,51.97,47.72,48.60,39.20,45.15,42.88,41.93,43.76,49.44,47.35,40.69,41.84,47.76,44.75,44.82,45.68,46.56,44.22,44.40,44.13,48.21,46.81,48.34,59.04,60.75,66.14,66.46,65.96,64.14,63.20,58.28,63.23,61.42,58.99,58.23,58.38,58.32,57.52,57.25,DebtRatio
3088 艾訊,36.57,45.87,38.18,35.94,38.18,43.62,37.66,38.35,37.36,47.77,41.41,41.88,34.97,45.44,39.70,46.69,43.33,39.41,34.18,37.14,36.83,49.14,43.56,42.92,41.70,44.03,41.40,36.91,36.95,42.48,41.04,34.86,39.18,43.02,39.12,42.31,44.00,45.23,42.94,40.88,44.63,41.98,39.08,38.71,42.60,42.59,39.96,35.42,DebtRatio
6579 研揚,-,-,-,-,-,-,-,-,-,-,-,27.89,-,36.66,30.20,28.60,24.91,32.99,19.27,20.36,17.65,29.07,15.78,14.04,15.34,21.11,15.59,14.07,14.46,19.16,12.88,12.58,14.39,21.95,17.79,17.87,19.63,23.07,19.65,17.89,16.98,21.70,17.21,15.69,17.35,24.61,17.27,15.48,DebtRatio
公司平均數,33.26,39.61,35.12,34.35,34.62,39.98,36.89,35.97,35.25,41.01,36.30,35.89,35.20,40.84,37.06,38.08,36.98,43.14,37.71,35.51,36.02,43.32,37.63,37.13,37.41,41.73,36.46,36.47,40.06,43.36,38.64,38.01,42.57,45.86,45.32,45.39,47.45,47.45,44.50,41.68,44.05,44.41,39.90,37.21,39.38,44.29,43.42,42.80,DebtRatio
電腦及週邊設備業,62.25,63.45,64.19,64.26,61.05,63.74,63.48,63.04,59.87,61.99,62.52,59.95,57.25,60.36,61.72,61.10,59.49,63.21,64.59,63.05,61.16,64.61,65.71,64.21,61.82,64.48,64.19,62.61,62.26,65.40,64.99,65.25,64.15,65.69,66.33,66.31,66.36,67.40,65.57,63.11,62.92,61.74,61.50,59.48,60.49,61.29,61.55,61.61,DebtRatio
